iteration,latency (ms),gpu,layer,model_type,model
50,4.320223808288574,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
51,3.832096099853516,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
52,3.584320068359375,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
53,5.231776237487793,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
54,4.503967761993408,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
55,4.062975883483887,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
56,3.4501121044158936,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
57,4.163616180419922,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
58,3.989919900894165,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
59,3.4557440280914307,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
60,4.12332820892334,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
61,4.012095928192139,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
62,4.3924479484558105,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
63,3.9004158973693848,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
64,4.092480182647705,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
65,3.8060479164123535,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
66,4.112512111663818,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
67,3.531327962875366,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
68,3.79369592666626,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
